date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:06	68236/68236	---M--	200	added ('OK')	image/jpeg	etag:%223a0533-10a8c-502df39a5aa93%22	http://gooberlicious.co.uk/files/4714/1053/2651/leonharrocks5.jpg	site/gooberlicious.co.uk/files/4714/1053/2651/leonharrocks5.jpg	(from http://gooberlicious.co.uk/leon-harrocks/)
13:29:07	77148/77148	---M--	200	added ('OK')	image/jpeg	etag:%223a0518-12d5c-502df399e0973%22	http://gooberlicious.co.uk/files/1614/1053/2651/leonharrocks4.jpg	site/gooberlicious.co.uk/files/1614/1053/2651/leonharrocks4.jpg	(from http://gooberlicious.co.uk/leon-harrocks/)
13:29:07	101096/101096	---M--	200	added ('OK')	image/jpeg	etag:%223a04fd-18ae8-502df3995cc13%22	http://gooberlicious.co.uk/files/2814/1053/2650/leonharrocks3.jpg	site/gooberlicious.co.uk/files/2814/1053/2650/leonharrocks3.jpg	(from http://gooberlicious.co.uk/leon-harrocks/)
13:29:09	75157/75157	---M--	200	added ('OK')	image/jpeg	etag:%223a054e-12595-502df39adc0e3%22	http://gooberlicious.co.uk/files/3314/1053/2652/leonharrocks6.jpg	site/gooberlicious.co.uk/files/3314/1053/2652/leonharrocks6.jpg	(from http://gooberlicious.co.uk/leon-harrocks/)
13:29:09	162747/162747	---M--	200	added ('OK')	image/jpeg	etag:%22381a09-27bbb-4f701d01f0d77%22	http://gooberlicious.co.uk/files/5413/9748/7065/yahoomovie_app.jpg	site/gooberlicious.co.uk/files/5413/9748/7065/yahoomovie_app.jpg	(from http://gooberlicious.co.uk/yahoo-movie-trailer-generator/)
13:29:09	238416/238416	---M--	200	added ('OK')	image/jpeg	etag:%22400ebd-3a350-5402a4eba156e%22	http://gooberlicious.co.uk/files/4914/7792/5337/peacock2016_7.jpg	site/gooberlicious.co.uk/files/4914/7792/5337/peacock2016_7.jpg	(from http://gooberlicious.co.uk/peacock-tree-ecology/)
13:29:14	87893/87893	---M--	200	added ('OK')	image/jpeg	etag:%22381a42-15755-4f7131a9e7e78%22	http://gooberlicious.co.uk/files/9813/9756/1329/mojo1.jpg	site/gooberlicious.co.uk/files/9813/9756/1329/mojo1.jpg	(from http://gooberlicious.co.uk/mojo-brand-development/)
13:29:14	140298/140298	---M--	200	added ('OK')	image/jpeg	etag:%223819dd-2240a-4f20a1d808aa8%22	http://gooberlicious.co.uk/files/7813/9202/5165/simonamstell1.jpg	site/gooberlicious.co.uk/files/7813/9202/5165/simonamstell1.jpg	(from http://gooberlicious.co.uk/simon-amstell/)
13:29:15	103866/103866	---M--	200	added ('OK')	image/jpeg	etag:%223a029c-195ba-4f7131aa905c8%22	http://gooberlicious.co.uk/files/5713/9756/1330/mojo2.jpg	site/gooberlicious.co.uk/files/5713/9756/1330/mojo2.jpg	(from http://gooberlicious.co.uk/mojo-brand-development/)
13:29:15	103731/103731	---M--	200	added ('OK')	image/jpeg	etag:%223a02b5-19533-4f7131ab33ef8%22	http://gooberlicious.co.uk/files/5413/9756/1331/mojo3.jpg	site/gooberlicious.co.uk/files/5413/9756/1331/mojo3.jpg	(from http://gooberlicious.co.uk/mojo-brand-development/)
